sid,from,to,date
410,549,63,2011-09-06
413,587,102,2011-09-06
427,433,505,2006-09-07
432,353,505,2002-09-05
432,505,205,2009-09-08
432,205,802,2011-02-10
433,505,367,2011-09-06
436,192,335,2007-09-19
441,598,211,2004-09-07
441,211,431,2004-11-22
441,431,624,2007-05-07
441,624,677,2007-09-20
442,176,139,2010-09-07
445,636,123,2004-01-21
445,123,624,2004-04-15
447,437,182,2003-09-08
447,182,188,2004-09-07
447,188,655,2008-09-04
447,655,66,2009-09-08
449,207,277,2002-09-05
449,277,197,2004-09-08
449,197,520,2005-10-26
449,520,624,2006-09-07
451,46,241,2002-09-18
451,241,399,2003-09-08
451,399,580,2003-12-23
451,580,149,2004-09-07
451,149,399,2004-11-02
451,399,516,2008-09-04
451,516,303,2010-09-07
452,431,382,2003-09-08
452,382,624,2004-09-21
453,162,624,2004-04-15
460,547,513,2001-12-06
460,513,619,2006-09-07
461,180,669,2005-11-01
468,637,182,2002-11-07
468,182,669,2003-11-05
468,669,303,2008-09-04
477,422,381,2003-04-01
477,381,565,2003-09-08
477,565,465,2004-09-07
477,465,532,2005-04-15
477,532,408,2007-09-10
477,408,542,2009-11-05
477,542,155,2010-09-07
486,324,296,2008-09-04
486,296,391,2010-09-07
490,540,425,2004-09-07
491,277,3,2002-03-19
491,3,425,2002-09-05
514,429,24,2007-01-05
514,24,496,2007-09-10
514,496,367,2010-09-07
515,131,69,2002-09-05
515,69,21,2003-09-08
520,300,148,2001-12-18
520,148,238,2002-09-05
523,520,230,2003-05-06
532,101,189,2009-12-01
532,189,262,2011-09-06
533,257,655,2003-09-08
538,207,170,2006-09-08
539,20,453,2005-01-14
541,164,625,2008-05-08
541,625,503,2009-09-08
541,503,281,2010-09-07
542,372,170,2004-09-07
543,372,598,2004-01-27
543,598,372,2004-09-07
543,372,170,2005-09-06
543,170,510,2007-09-21
543,510,287,2008-02-01
550,136,157,2007-09-10
551,547,516,2004-09-07
551,516,81,2007-09-10
555,63,123,2005-12-06
555,123,411,2006-09-07
561,148,516,2006-09-07
561,516,302,2009-09-08
561,302,521,2010-09-07
565,245,432,2006-09-07
565,432,628,2006-10-03
567,45,525,2004-09-07
567,525,628,2005-12-02
567,628,666,2007-09-10
567,666,510,2010-10-07
573,355,628,2006-09-07
573,628,302,2009-09-08
580,183,466,2002-09-05
580,466,183,2006-10-03
580,183,358,2006-10-18
580,358,22,2008-09-04
584,477,202,2002-09-05
584,202,155,2003-01-03
584,155,202,2003-09-08
585,207,44,2003-03-20
585,44,334,2008-09-04
591,537,155,2002-09-05
594,45,525,2004-09-07
594,525,164,2005-09-06
594,164,525,2006-03-07
594,525,574,2007-09-10
595,207,233,2003-02-11
595,233,570,2004-09-07
595,570,328,2005-01-06
595,328,257,2005-09-06
595,257,525,2007-01-05
595,525,425,2007-09-10
596,393,155,2002-09-05
600,179,124,2003-09-08
600,124,624,2004-04-21
600,624,179,2004-12-06
600,179,155,2005-11-29
600,155,47,2006-11-28
600,47,155,2006-12-13
603,604,624,2007-09-10
604,620,574,2005-09-06
610,24,568,2004-12-14
610,568,533,2008-09-04
610,533,505,2010-09-07
610,505,358,2011-09-06
611,505,636,2010-09-01
611,636,205,2010-12-14
621,668,57,2002-09-05
621,57,668,2003-09-08
621,668,357,2006-09-07
621,357,435,2007-03-12
621,435,357,2008-04-15
621,357,620,2008-09-04
621,620,398,2011-03-02
621,398,208,2011-09-06
621,208,116,2012-01-05
624,539,525,2002-09-05
624,525,537,2002-09-09
624,537,179,2005-09-06
624,179,411,2008-09-04
630,182,605,2002-12-10
630,605,522,2003-09-08
630,522,366,2004-10-06
630,366,522,2004-11-08
630,522,599,2005-09-06
636,210,532,2005-09-21
636,532,217,2008-09-04
636,217,179,2010-09-07
639,339,465,2006-09-07
639,465,25,2007-03-28
639,25,465,2009-09-08
639,465,12,2010-09-07
640,205,510,2001-09-25
641,525,277,2001-09-10
641,277,197,2002-09-05
641,197,12,2003-09-08
641,12,510,2004-09-07
642,408,510,2002-02-01
643,149,25,2006-09-29
643,25,47,2007-12-21
643,47,139,2008-01-22
644,277,510,2002-09-05
646,358,205,2003-09-08
646,205,431,2006-10-11
647,283,25,2005-12-06
647,25,389,2007-10-01
648,387,667,2002-12-19
648,667,277,2003-01-07
648,277,64,2004-09-07
648,64,666,2006-02-22
648,666,510,2006-10-30
653,437,668,2004-09-07
653,668,42,2005-12-01
653,42,357,2006-09-07
653,357,620,2009-09-08
656,607,42,2005-09-06
656,42,152,2007-09-10
658,518,255,2003-09-08
658,255,42,2006-10-19
658,42,286,2008-09-04
658,286,97,2010-09-07
663,152,357,2002-09-05
664,228,405,2007-09-10
667,668,357,2006-09-07
667,357,620,2009-09-08
672,441,532,2001-09-10
672,532,379,2006-09-07
673,641,202,2003-01-10
676,429,353,2002-01-02
676,353,580,2003-05-12
676,580,654,2003-09-08
676,654,563,2003-12-09
676,563,429,2004-09-07
676,429,188,2007-09-10
677,429,560,2007-09-10
677,560,429,2009-09-08
678,304,441,2002-09-05
681,575,44,2002-10-28
681,44,500,2007-09-10
681,500,44,2008-09-04
681,44,277,2011-09-06
682,179,202,2002-09-05
684,393,155,2003-09-09
684,155,179,2004-12-08
684,179,537,2005-09-06
684,537,287,2006-05-17
686,408,116,2002-01-22
686,116,272,2002-09-05
686,272,287,2004-02-13
687,624,47,2002-09-09
687,47,287,2002-09-17
690,413,358,2008-09-04
690,358,205,2010-09-07
691,161,3,2003-09-08
691,3,393,2004-01-08
691,393,287,2006-05-22
691,287,551,2008-02-06
691,551,272,2009-01-08
691,272,411,2009-09-08
691,411,47,2011-01-03
693,233,207,2005-12-06
693,207,233,2006-01-20
693,233,666,2008-09-04
693,666,823,2009-09-08
695,296,21,2010-09-07
698,44,271,2002-09-05
698,271,299,2003-11-12
698,299,549,2007-09-10
698,549,587,2008-02-21
698,587,655,2010-09-07
699,299,61,2007-09-10
699,61,457,2010-09-23
699,457,663,2011-05-02
700,309,441,2005-11-08
700,441,233,2005-12-06
710,0,57,2004-09-07
713,575,510,2006-09-07
714,632,520,2010-09-07
715,207,510,2006-09-07
715,510,677,2010-10-14
715,677,856,2011-10-17
718,431,510,2002-12-19
719,185,48,2002-09-09
719,48,468,2003-09-08
719,468,257,2006-01-25
719,257,431,2006-10-25
736,255,37,2006-05-12
736,37,413,2007-01-02
737,205,287,2001-11-13
740,413,358,2008-09-04
740,358,205,2010-09-07
751,441,224,2003-01-23
751,224,441,2003-10-01
751,441,281,2007-03-07
751,281,624,2007-09-10
751,624,666,2007-10-01
751,666,162,2009-09-08
751,162,116,2009-09-14
753,37,446,2008-02-05
754,456,281,2005-02-24
755,28,413,2010-06-02
755,413,358,2011-09-06
756,28,574,2009-09-08
756,574,97,2010-10-14
757,668,37,2003-10-21
757,37,28,2005-02-01
761,366,28,2005-09-06
761,28,22,2009-09-08
763,500,408,2007-09-11
763,408,794,2010-09-07
763,794,411,2010-09-15
769,42,283,2005-02-16
769,283,286,2005-09-06
771,29,165,2005-09-06
774,286,337,2008-09-04
774,337,286,2009-02-10
774,286,339,2009-09-08
774,339,286,2010-04-21
780,315,437,2005-05-11
780,437,37,2006-10-31
780,37,101,2009-01-15
780,101,15,2010-09-15
790,203,44,2010-03-08
791,199,183,2003-01-21
791,183,94,2003-09-08
791,94,102,2007-09-10
794,568,94,2006-09-07
794,94,100,2008-09-04
796,632,339,2002-04-29
796,339,563,2003-02-05
796,563,180,2007-09-10
796,180,509,2008-04-15
796,509,43,2009-09-08
796,43,446,2010-01-05
796,446,97,2010-09-07
801,358,205,2002-09-05
802,160,209,2005-09-13
802,209,435,2005-09-15
802,435,381,2006-12-06
802,381,209,2009-04-21
802,209,391,2011-09-06
803,366,147,2005-09-06
805,147,663,2008-09-04
805,663,116,2010-09-07
806,595,611,2006-03-02
806,611,147,2007-04-17
806,147,441,2007-09-10
806,441,33,2009-02-26
810,358,205,2004-09-07
812,230,205,2002-09-05
813,381,43,2007-11-01
814,162,205,2003-09-10
816,381,44,2009-09-08
820,196,663,2002-09-05
820,663,303,2005-09-06
821,663,67,2003-10-23
824,381,271,2005-09-06
824,271,632,2007-09-10
824,632,520,2009-09-08
824,520,194,2011-09-06
827,386,112,2003-09-08
827,112,338,2005-09-06
827,338,123,2006-09-07
829,37,248,2002-09-05
829,248,343,2003-10-07
829,343,101,2003-11-21
829,101,67,2006-09-07
830,116,67,2002-02-20
830,67,676,2010-09-22
831,343,67,2004-09-07
832,248,398,2001-12-11
832,398,248,2002-09-10
832,248,67,2003-10-01
833,573,123,2006-09-07
834,219,67,2003-09-08
838,666,123,2002-09-05
839,296,391,2002-09-05
839,391,214,2003-02-11
839,214,116,2005-09-06
839,116,666,2006-10-17
842,455,154,2007-09-19
842,154,448,2008-09-04
842,448,446,2009-09-08
842,446,630,2011-09-06
845,93,7,2009-11-20
845,7,423,2010-09-07
845,423,259,2011-09-06
846,14,93,2006-09-07
846,93,547,2012-01-24
855,490,33,2005-09-06
856,257,425,2003-09-08
856,425,292,2004-09-07
859,355,594,2002-09-05
859,594,232,2004-09-07
859,232,257,2005-09-06
859,257,152,2007-03-06
859,152,655,2008-09-04
861,547,152,2004-10-22
861,152,357,2009-11-06
861,357,587,2010-02-03
862,366,398,2003-09-08
862,398,33,2006-02-27
862,33,173,2007-09-10
868,283,483,2005-01-25
868,483,60,2006-09-07
868,60,283,2008-09-04
868,283,413,2009-09-08
868,413,237,2010-03-24
868,237,33,2010-09-07
868,33,179,2010-11-05
868,179,33,2010-11-12
868,33,179,2010-11-23
877,587,549,2005-09-06
877,549,63,2008-09-04
887,161,448,2003-11-14
887,448,232,2006-09-07
887,232,154,2006-11-06
887,154,625,2007-09-10
887,625,281,2010-09-07
889,83,518,2005-09-06
894,374,154,2006-09-07
894,154,565,2008-02-21
894,565,154,2009-09-08
901,575,15,2006-09-20
903,594,563,2006-09-07
903,563,366,2007-09-10
903,366,490,2008-09-04
903,490,803,2011-01-11
903,803,609,2011-09-06
905,567,563,2006-09-07
905,563,490,2011-09-06
909,456,652,2008-09-04
910,37,69,2005-09-06
910,69,205,2011-09-06
911,587,61,2009-09-08
912,7,456,2009-09-08
912,456,25,2011-10-05
914,131,69,2004-10-19
915,570,237,2003-09-22
915,237,522,2007-02-13
920,522,518,2009-09-08
920,518,585,2011-05-03
927,585,174,2001-10-16
927,174,625,2002-09-05
927,625,585,2003-01-06
927,585,48,2004-09-07
927,48,520,2007-10-02
927,520,453,2008-01-15
927,453,47,2009-02-12
929,281,3,2002-09-05
929,3,534,2004-09-07
929,534,452,2005-09-06
929,452,680,2007-10-10
931,406,477,2002-09-24
931,477,179,2002-10-29
931,179,377,2005-03-29
931,377,205,2005-09-06
931,205,542,2006-02-08
932,286,3,2002-09-05
932,3,286,2005-09-06
932,286,452,2006-09-07
932,452,680,2010-11-09
932,680,856,2011-10-17
935,277,542,2004-09-07
936,655,202,2002-12-02
936,202,542,2005-09-09
938,542,63,2002-09-05
938,63,202,2002-12-02
938,202,542,2003-01-09
939,607,542,2006-09-07
940,203,257,2002-09-05
940,257,425,2004-09-07
940,425,123,2005-09-08
