sid,from,to,date
25876,541,202,2011-09-06
25877,548,629,2006-09-07
25877,629,496,2010-09-07
25887,219,315,2002-12-20
25889,27,204,2006-09-07
25893,539,525,2002-09-05
25893,525,277,2005-09-06
25896,366,219,2002-09-05
25896,219,201,2004-09-07
25896,201,343,2005-09-06
25896,343,521,2009-09-08
25906,609,303,2004-09-07
25907,103,148,2002-03-20
25907,148,516,2006-09-07
25907,516,257,2007-10-26
25907,257,624,2009-10-05
25910,116,382,2004-09-07
25910,382,411,2006-09-07
25916,503,343,2003-09-08
25916,343,67,2006-09-07
25917,509,221,2003-01-15
25917,221,67,2005-04-11
25919,277,525,2003-09-08
25919,525,666,2004-09-07
25919,666,674,2007-09-21
25920,277,666,2005-10-18
25923,343,67,2006-09-07
25925,281,666,2005-09-06
25927,235,67,2006-09-07
25933,398,221,2002-09-05
25933,221,542,2003-09-17
25933,542,202,2004-09-07
25935,44,197,2011-09-06
25937,366,429,2002-09-05
25937,429,425,2010-09-01
25938,429,563,2011-11-01
25940,175,429,2006-09-07
25940,429,175,2007-09-10
25940,175,429,2008-05-19
25940,429,175,2008-09-04
25940,175,437,2009-09-08
25940,437,490,2010-09-07
25940,490,663,2011-09-06
25941,366,16,2006-09-07
25941,16,248,2007-03-06
25941,248,67,2007-09-10
25943,429,188,2007-09-10
25943,188,521,2010-09-07
25951,620,452,2005-09-06
25955,48,83,2008-01-08
25955,83,411,2009-09-08
25956,112,272,2004-04-29
25956,272,551,2005-03-30
25956,551,453,2007-01-11
25958,59,188,2003-09-08
25958,188,655,2006-09-07
25960,63,453,2003-03-17
25962,358,655,2002-09-05
25969,372,170,2004-09-07
25969,170,408,2005-02-07
25969,408,170,2005-09-28
25969,170,408,2005-10-18
25969,408,277,2005-12-23
25969,277,453,2006-09-07
25971,101,69,2008-09-15
25971,69,21,2009-09-08
25971,21,67,2012-01-05
25975,593,596,2005-09-06
25977,313,596,2006-09-07
25987,585,207,2002-12-03
25987,207,521,2008-09-04
25988,207,575,2008-09-04
25993,207,203,2009-01-05
25993,203,12,2010-09-07
25993,12,777,2010-10-27
25996,366,466,2005-09-06
25996,466,663,2007-09-10
25996,663,116,2009-09-08
26001,629,359,2003-09-17
26002,624,534,2002-02-28
26002,534,155,2004-11-23
26003,88,607,2003-09-08
26006,44,456,2003-03-13
26006,456,525,2007-05-03
26006,525,500,2007-10-05
26006,500,277,2008-09-04
26007,607,337,2007-09-10
26007,337,607,2008-03-05
26007,607,88,2010-12-16
26013,525,155,2002-09-05
26013,155,408,2003-02-25
26013,408,275,2004-09-08
26016,232,632,2002-09-05
26016,632,182,2003-09-08
26016,182,496,2006-09-07
26016,496,19,2009-09-08
26018,629,605,2004-09-07
26018,605,496,2005-09-06
26018,496,81,2008-09-04
26019,605,496,2006-09-07
26019,496,641,2009-09-08
26019,641,787,2012-03-21
26022,11,196,2007-09-19
26024,28,617,2003-05-13
26025,182,496,2002-09-05
26030,617,201,2009-04-16
26030,201,357,2009-09-08
26032,24,496,2006-09-07
26032,496,334,2009-09-08
26033,165,630,2002-11-12
26033,630,131,2004-09-07
26033,131,496,2006-09-07
26033,496,641,2007-09-10
26044,202,155,2005-09-29
26046,491,376,2003-09-08
26046,376,20,2007-09-10
26046,20,676,2011-03-21
26046,676,855,2012-01-09
26054,667,64,2005-09-06
26055,341,64,2004-09-07
26062,219,67,2004-09-07
26064,662,37,2007-09-10
26064,37,210,2008-09-04
26064,210,456,2009-09-08
26064,456,28,2009-10-07
26064,28,522,2010-09-29
26064,522,250,2012-01-20
26064,250,522,2012-01-24
26064,522,846,2012-01-26
26065,67,162,2004-03-24
26065,162,0,2004-09-15
26065,0,162,2005-09-06
26065,162,67,2006-02-01
26068,396,549,2006-11-14
26068,549,63,2008-09-04
26073,335,299,2003-01-07
26073,299,549,2004-09-07
26073,549,78,2009-01-14
26073,78,21,2009-09-08
26074,490,123,2003-02-11
26074,123,221,2003-02-28
26074,221,225,2005-09-07
26088,503,131,2005-03-11
26088,131,641,2005-09-06
26090,496,641,2002-09-05
26094,131,256,2002-09-05
26094,256,641,2005-09-06
26095,503,405,2004-09-07
26095,405,605,2004-12-21
26096,605,496,2003-09-08
26096,496,641,2006-09-07
26100,3,97,2005-09-06
26104,324,408,2002-09-05
26105,146,435,2004-01-06
26105,435,663,2004-09-07
26105,663,422,2004-09-30
26105,422,663,2004-12-02
26105,663,116,2007-09-10
26106,254,196,2007-09-17
26106,196,541,2008-09-08
26107,70,619,2008-09-04
26108,611,617,2003-11-12
26108,617,663,2004-09-07
26108,663,116,2007-09-10
26108,116,47,2010-03-05
26108,47,509,2010-03-24
26109,539,525,2002-09-05
26109,525,408,2006-10-16
26110,147,663,2004-09-07
26110,663,116,2007-09-10
26110,116,225,2008-12-01
26110,225,208,2008-12-12
26110,208,676,2009-11-24
26111,254,172,2008-09-04
26111,172,686,2011-09-06
26112,254,550,2001-10-25
26112,550,663,2003-09-08
26114,184,358,2002-09-05
26114,358,205,2005-09-06
26115,491,196,2003-09-08
26115,196,147,2005-02-08
26117,165,205,2003-09-08
26119,162,205,2002-01-11
26121,250,162,2004-09-07
26121,162,205,2005-12-02
26122,405,358,2003-09-08
26122,358,205,2006-09-07
26122,205,636,2006-11-20
26122,636,205,2007-03-12
26123,60,243,2010-09-07
26126,44,186,2004-09-07
26126,186,549,2005-09-06
26126,549,12,2008-09-04
26143,37,161,2001-09-10
26143,161,37,2002-09-05
26143,37,248,2003-09-08
26143,248,372,2004-09-07
26143,372,170,2007-09-10
26144,210,430,2005-09-06
26144,430,103,2005-09-13
26144,103,520,2007-09-10
26144,520,624,2009-09-08
26156,548,65,2006-09-07
26156,65,496,2008-09-04
26156,496,641,2009-09-08
26160,377,65,2005-09-06
26160,65,334,2011-09-06
26161,255,161,2001-11-08
26161,161,272,2008-01-03
26161,272,518,2009-09-08
26161,518,155,2010-09-07
26167,241,275,2009-09-08
26168,43,57,2006-09-07
26168,57,620,2012-02-01
26186,597,207,2004-12-14
26187,210,207,2003-12-16
26187,207,425,2007-09-10
26190,518,393,2003-09-08
26190,393,452,2007-10-24
26190,452,559,2007-10-26
26190,559,479,2009-01-26
26193,161,381,2004-10-01
26193,381,148,2006-09-07
26193,148,594,2007-09-10
26193,594,516,2008-09-04
26193,516,1,2008-12-09
26196,640,78,2002-09-05
26199,210,413,2006-01-23
26199,413,148,2006-02-17
26200,532,88,2006-11-08
26203,83,405,2006-11-03
26210,201,343,2007-09-10
26210,343,379,2011-09-06
26214,204,483,2002-09-05
26214,483,595,2003-03-06
26216,219,563,2005-10-14
26216,563,434,2006-09-07
26216,434,545,2007-10-19
26216,545,343,2011-09-06
26219,491,46,2003-09-08
26219,46,179,2004-09-07
26219,179,425,2007-09-10
26221,593,602,2003-01-06
26221,602,537,2003-09-08
26221,537,179,2005-09-06
26221,179,20,2007-09-10
26227,376,655,2011-09-06
26230,525,510,2010-09-07
26234,393,155,2003-09-08
26236,465,393,2002-09-09
26236,393,155,2004-09-07
26237,283,537,2005-09-06
26237,537,25,2006-02-10
26237,25,275,2007-02-06
26237,275,453,2009-09-08
26239,393,155,2002-09-05
26242,537,155,2002-09-05
26245,387,525,2006-09-08
26245,525,510,2007-09-10
26246,233,525,2004-09-07
26246,525,365,2007-09-10
26258,278,436,2007-09-10
26263,570,165,2009-09-08
26264,658,355,2003-09-08
26264,355,385,2008-09-04
26264,385,574,2011-09-06
26266,283,42,2002-01-03
26266,42,465,2002-09-05
26266,465,381,2004-03-30
26266,381,542,2005-09-29
26266,542,67,2005-10-06
26266,67,225,2006-09-07
26266,225,479,2007-03-29
26266,479,542,2007-12-18
26267,157,587,2003-10-09
26267,587,342,2006-09-07
26267,342,302,2009-09-08
26274,625,281,2005-09-06
26274,281,289,2008-09-04
26274,289,281,2009-01-09
26274,281,666,2009-09-08
26274,666,123,2010-12-10
26280,70,203,2004-04-27
26280,203,666,2011-09-06
26284,563,219,2011-09-06
26288,295,203,2005-09-06
26288,203,295,2007-09-10
26288,295,777,2009-09-08
26290,72,277,2007-11-14
26290,277,572,2008-09-04
26291,250,381,2002-09-05
26291,381,574,2009-09-08
26293,358,205,2004-09-07
26296,663,205,2004-09-07
26296,205,559,2009-01-15
26297,205,676,2007-09-19
26297,676,679,2010-02-01
26298,522,570,2002-09-05
26298,570,28,2003-09-08
26298,28,147,2005-05-16
26300,466,358,2003-02-21
26300,358,466,2003-09-08
26300,466,205,2004-09-07
26301,503,669,2003-09-08
26301,669,25,2004-03-10
26301,25,637,2004-09-07
26301,637,162,2005-09-06
26301,162,25,2006-01-19
26301,25,116,2007-08-01
26301,116,47,2008-08-11
26301,47,680,2008-09-26
26304,456,25,2006-04-17
26304,25,277,2007-09-12
26304,277,551,2008-09-04
26304,551,411,2009-09-08
26306,553,197,2002-09-05
26306,197,510,2006-09-07
26306,510,823,2009-09-08
26307,632,24,2007-09-10
26307,24,548,2008-01-03
26308,257,431,2004-09-07
26308,431,677,2008-09-19
26311,408,666,2002-09-05
26311,666,510,2004-05-28
26313,230,570,2003-02-28
26313,570,248,2009-09-08
26313,248,465,2010-03-03
26313,465,67,2011-09-06
26314,510,382,2004-09-29
26316,224,541,2002-09-05
26316,541,25,2004-02-25
26316,25,551,2006-09-11
26316,551,453,2008-09-04
26316,453,47,2010-09-07
26316,47,804,2010-09-28
26317,139,47,2004-04-12
26317,47,139,2004-04-23
26317,139,382,2004-12-08
26318,237,593,2002-09-05
26318,593,12,2008-09-04
26318,12,411,2011-09-07
26319,522,437,2001-12-06
26319,437,37,2002-09-05
26319,37,522,2004-02-03
26319,522,37,2004-09-14
26319,37,398,2005-09-06
26319,398,671,2009-09-08
26320,617,398,2003-09-08
26322,43,637,2006-09-07
26322,637,180,2009-09-08
26323,593,161,2009-09-21
26325,295,302,2011-09-06
26326,405,637,2006-09-07
26326,637,405,2008-03-27
26326,405,358,2011-09-06
26327,281,666,2004-09-07
26327,666,551,2005-11-22
26329,303,382,2003-09-08
26330,366,398,2004-09-07
26330,398,655,2008-09-04
26332,37,466,2002-09-05
26332,466,224,2005-09-06
26332,224,37,2005-09-27
26332,37,398,2006-09-07
26332,398,233,2007-09-10
26332,233,197,2008-09-04
26332,197,303,2010-09-07
26335,69,21,2006-09-07
26339,248,67,2004-09-07
26345,393,525,2002-09-05
26345,525,666,2004-09-07
26346,548,21,2007-09-10
26347,441,48,2002-10-03
26347,48,637,2003-12-15
26347,637,477,2004-05-18
26347,477,72,2004-09-07
26347,72,628,2004-10-08
26347,628,594,2005-03-09
26347,594,628,2005-09-13
26347,628,666,2006-09-07
26348,497,123,2002-09-05
26351,248,67,2002-09-05
26355,594,274,2009-09-08
26355,274,624,2009-10-23
26357,372,453,2002-10-17
26357,453,372,2003-09-08
26357,372,47,2004-09-13
26357,47,155,2004-10-05
26358,241,275,2002-09-05
26358,275,425,2004-09-07
26358,425,275,2004-09-22
26358,275,139,2007-10-01
26366,93,598,2003-09-08
26367,408,155,2002-09-12
26367,155,534,2003-09-15
26371,157,628,2003-09-08
26371,628,48,2003-10-08
26371,48,598,2006-03-27
26371,598,777,2010-12-13
26376,313,33,2007-09-10
26376,33,595,2007-09-21
26382,312,436,2006-09-07
26389,221,32,2003-09-08
26394,203,12,2002-09-05
26394,12,551,2006-04-21
26394,551,12,2006-04-25
26397,0,43,2004-09-07
26399,547,94,2006-09-07
26399,94,100,2008-09-04
26401,203,599,2008-09-04
26414,413,358,2010-09-07
26418,500,47,2004-09-07
26418,47,287,2004-10-05
26418,287,47,2007-09-25
26418,47,411,2007-10-22
26420,553,625,2002-10-24
26420,625,553,2003-09-08
26420,553,197,2007-09-10
26420,197,510,2009-09-08
26420,510,802,2009-10-21
26420,802,510,2010-09-07
26421,663,116,2003-09-08
26421,116,509,2004-02-11
26421,509,0,2004-03-24
26421,0,389,2004-09-07
26422,520,257,2003-01-27
26422,257,431,2003-09-08
26422,431,389,2005-09-15
26426,0,327,2004-09-07
26426,327,33,2004-09-15
26426,33,409,2008-09-04
26426,409,441,2008-10-10
26428,491,316,2001-10-23
26428,316,179,2002-09-05
26428,179,343,2003-09-08
26428,343,20,2006-09-07
26428,20,292,2007-03-22
26428,292,431,2007-09-20
26428,431,542,2008-01-31
26444,328,518,2003-02-25
26445,207,204,2001-11-01
26445,204,34,2003-09-15
26445,34,350,2005-09-06
26445,350,414,2009-09-08
26446,176,658,2003-09-10
26446,658,667,2007-09-24
26446,667,408,2010-09-07
26451,483,154,2006-03-23
26451,154,230,2010-01-11
26451,230,557,2011-09-06
26453,199,658,2003-03-06
26453,658,257,2007-09-10
26453,257,162,2010-09-07
26459,245,422,2006-11-03
26459,422,575,2008-01-09
26459,575,422,2009-09-08
26459,422,60,2010-02-02
26463,598,431,2002-09-05
26464,500,72,2002-02-27
26464,72,63,2002-09-05
26464,63,431,2003-01-10
26466,624,431,2006-10-04
26467,468,431,2002-09-05
26468,431,657,2004-09-07
26468,657,431,2005-02-10
26478,667,500,2006-05-08
26478,500,408,2007-09-10
26478,408,551,2007-11-26
26489,0,43,2004-09-07
26489,43,580,2006-04-05
26489,580,43,2006-09-07
26489,43,669,2009-09-08
26489,669,505,2011-04-29
26493,63,382,2002-09-05
26493,382,542,2004-09-13
26496,162,452,2006-09-14
26496,452,675,2008-11-25
26498,641,272,2005-01-26
26498,272,551,2005-01-31
26498,551,211,2006-09-11
26498,211,542,2007-02-27
26501,542,683,2007-09-10
26502,3,542,2003-09-08
26502,542,683,2007-09-21
26506,503,509,2002-01-18
26510,7,180,2005-09-06
26513,60,537,2006-09-07
26513,537,21,2008-09-04
26515,67,671,2002-12-16
26515,671,67,2003-09-09
26515,67,47,2004-11-22
26515,47,509,2004-12-13
26516,357,180,2004-09-07
26516,180,162,2008-09-04
26520,7,180,2004-09-07
26521,45,539,2009-09-08
26521,539,510,2010-09-07
26523,191,102,2007-09-10
26525,245,549,2009-09-08
26527,183,570,2002-09-05
26527,570,580,2003-09-08
26527,580,281,2003-12-02
26527,281,257,2006-12-05
26527,257,468,2006-12-20
26527,468,287,2007-01-16
26527,287,272,2008-09-04
26527,272,680,2011-03-22
26530,570,609,2004-09-07
26530,609,367,2007-09-10
26540,42,161,2003-04-10
26540,161,70,2004-09-07
26540,70,628,2006-11-28
26540,628,619,2008-09-04
26540,619,453,2009-09-08
26541,147,522,2002-03-12
26541,522,423,2002-03-19
26541,423,300,2002-10-15
26541,300,509,2004-06-09
26541,509,358,2006-02-14
26541,358,205,2007-09-10
26543,209,391,2006-09-07
26543,391,21,2009-09-08
26544,550,609,2004-09-07
26544,609,81,2007-09-10
26546,353,391,2003-09-08
26548,199,358,2006-09-07
26548,358,205,2007-09-10
26559,338,78,2008-09-04
26560,237,365,2006-09-07
26561,190,7,2006-09-07
26561,7,668,2006-09-26
26564,283,42,2002-01-03
26564,42,465,2003-09-08
26564,465,381,2004-03-30
26564,381,490,2006-09-07
26564,490,225,2007-09-10
26564,225,542,2007-12-06
26564,542,225,2008-02-12
26564,225,542,2009-02-19
26564,542,225,2009-09-08
26567,339,69,2011-09-06
26572,669,437,2006-09-15
26572,437,563,2007-09-10
26572,563,189,2009-09-08
26572,189,503,2010-05-04
26577,236,179,2008-11-06
26584,376,20,2005-09-06
26594,595,532,2002-09-05
26594,532,3,2004-09-07
26594,3,97,2005-09-06
26594,97,452,2006-09-07
26595,534,452,2006-09-07
26596,420,446,2007-09-10
26606,625,161,2007-03-21
26606,161,625,2007-09-10
26606,625,161,2008-01-15
26606,161,625,2008-11-13
26606,625,161,2009-09-11
26606,161,625,2011-12-13
26609,230,256,2002-09-05
26613,101,286,2004-09-09
26615,456,245,2003-04-22
26615,245,210,2004-09-07
26615,210,500,2005-09-06
26615,500,408,2008-09-04
26615,408,63,2010-09-07
26637,63,20,2003-03-18
26639,207,44,2005-10-12
26639,44,61,2006-09-07
26639,61,243,2007-09-10
26639,243,61,2007-09-12
26639,61,185,2008-09-04
26652,154,197,2002-09-05
26652,197,63,2007-09-25
26653,309,422,2002-04-04
26656,553,197,2002-09-05
26656,197,510,2008-09-23
26657,422,550,2007-10-17
26657,550,422,2008-09-04
26658,501,328,2002-10-09
26659,328,274,2009-08-31
26659,274,19,2009-09-08
26663,554,422,2002-09-05
26664,286,3,2003-09-08
26664,3,422,2004-09-07
26664,422,277,2007-09-10
26668,518,391,2010-09-07
26671,658,547,2002-09-05
26671,547,658,2006-09-07
26671,658,520,2008-09-04
26671,520,20,2010-09-07
26674,69,359,2004-09-22
26674,359,69,2004-09-28
26674,69,81,2009-09-08
26675,72,277,2002-09-05
26675,277,63,2003-09-08
26675,63,551,2004-09-07
26675,551,47,2007-05-02
26675,47,272,2007-10-02
26675,272,551,2008-09-08
26675,551,170,2009-02-03
26675,170,674,2011-03-23
26677,69,81,2008-09-04
26678,637,7,2006-09-07
26678,7,180,2009-09-08
26681,522,637,2009-09-08
26681,637,162,2011-09-06
26683,0,399,2004-09-14
26683,399,7,2004-12-07
26690,283,435,2003-09-08
26690,435,456,2005-03-29
26695,620,256,2002-09-05
26697,436,81,2009-09-08
26698,434,256,2002-09-05
26699,436,256,2011-09-06
26701,283,663,2005-09-29
26701,663,116,2006-09-07
26701,116,97,2007-02-06
26708,465,97,2006-09-07
26708,97,202,2010-09-07
26712,387,587,2003-09-08
26712,587,549,2005-09-06
26712,549,372,2006-05-23
26712,372,170,2008-09-04
26712,170,827,2010-09-20
26712,827,804,2011-09-06
26721,587,245,2005-09-06
26721,245,186,2007-09-10
26721,186,387,2010-09-07
26731,245,224,2010-09-07
26732,557,668,2003-10-08
26732,668,620,2004-09-07
26732,620,97,2008-09-04
26732,97,509,2009-02-17
26732,509,807,2009-09-08
26732,807,116,2010-09-07
26745,255,574,2011-09-06
26749,190,632,2006-09-07
26749,632,255,2007-01-04
26749,255,43,2008-02-28
26752,62,663,2006-10-16
26763,399,257,2007-09-18
26763,257,794,2010-10-22
26763,794,805,2010-11-29
26763,805,829,2011-09-06
26766,358,205,2004-09-07
26766,205,116,2005-02-25
26766,116,624,2006-01-03
26768,47,155,2002-12-09
26768,155,624,2004-10-05
26774,624,676,2008-09-24
26777,520,624,2003-09-08
26779,602,7,2004-09-07
26779,7,103,2005-03-02
26779,103,149,2008-09-29
26781,316,465,2007-09-10
26785,0,518,2005-09-06
26785,518,316,2006-03-17
26785,316,152,2009-02-18
26785,152,43,2009-12-10
26785,43,219,2011-09-06
26788,377,272,2004-01-16
26788,272,572,2006-02-10
26790,520,425,2003-09-08
26792,65,425,2002-09-05
26798,160,209,2007-09-10
26800,238,624,2009-09-14
26802,391,21,2003-09-08
26814,62,580,2001-09-28
26814,580,565,2002-09-05
26814,565,628,2006-09-07
26814,628,62,2006-12-12
26814,62,207,2008-10-07
26814,207,62,2009-02-12
26814,62,510,2009-09-08
26814,510,202,2010-01-14
26814,202,510,2010-02-01
26814,510,666,2010-09-07
26814,666,202,2010-10-18
26815,503,272,2007-01-08
26815,272,162,2009-02-03
26815,162,777,2010-12-13
26824,596,324,2004-09-07
26824,324,619,2005-09-06
26826,199,669,2005-09-06
26826,669,406,2010-01-22
26826,406,20,2011-09-06
26830,619,431,2002-11-07
26830,431,619,2003-09-08
26832,550,37,2007-09-10
26832,37,405,2008-09-10
26836,550,663,2010-09-07
26838,230,550,2004-09-21
26838,550,663,2007-09-10
26838,663,686,2010-09-07
26839,505,205,2006-09-07
26840,201,101,2002-09-09
26840,101,37,2002-09-19
26840,37,522,2002-10-11
26840,522,219,2003-09-10
26840,219,37,2004-04-27
26840,37,248,2005-09-06
26840,248,147,2006-09-07
26840,147,663,2007-09-10
26840,663,116,2009-09-08
26841,513,548,2009-01-06
26841,548,81,2010-09-07
26842,604,624,2002-09-05
26843,429,513,2005-09-06
26845,241,448,2002-09-05
26845,448,328,2004-05-12
26845,328,300,2006-10-11
26845,300,335,2008-03-26
26845,335,45,2008-10-03
26845,45,510,2010-09-07
26846,548,300,2001-09-10
26849,437,188,2010-09-07
26851,437,429,2011-09-06
26859,300,641,2011-09-06
26860,300,184,2009-09-08
26863,620,333,2004-09-22
26866,43,316,2003-09-08
26866,316,465,2004-09-07
26867,505,302,2009-09-08
26867,302,21,2010-09-15
26873,505,81,2011-09-06
26874,563,597,2002-05-14
26874,597,165,2002-05-29
26874,165,550,2003-10-20
26874,550,522,2004-04-13
26874,522,405,2004-09-07
26874,405,505,2006-02-16
26874,505,466,2007-09-10
26874,466,505,2007-10-02
26874,505,205,2009-09-08
26876,573,521,2006-09-07
26877,513,505,2003-09-08
26885,413,385,2010-09-07
26891,255,46,2002-04-11
26891,46,554,2002-09-05
26891,554,537,2003-09-08
26891,537,255,2003-10-29
26891,255,537,2005-01-05
26891,537,179,2006-09-07
26891,179,287,2007-02-27
26891,287,389,2007-11-02
26891,389,139,2008-03-07
26891,139,155,2009-09-30
26896,47,287,2002-11-04
26900,179,393,2002-10-01
26910,391,468,2006-09-11
26910,468,391,2007-09-10
26910,391,21,2008-09-04
26910,21,162,2010-11-01
26913,93,503,2004-12-13
26913,503,594,2007-09-10
26913,594,180,2010-09-07
26916,537,230,2001-09-24
26916,230,162,2003-09-08
26917,179,574,2003-09-08
26918,547,574,2006-09-07
26919,250,162,2005-09-06
26920,287,162,2002-09-05
26921,7,180,2002-09-05
26921,180,162,2006-09-07
26924,597,468,2004-09-07
26924,468,358,2007-01-18
26924,358,391,2007-01-31
26924,391,468,2007-05-23
26924,468,431,2007-09-10
26924,431,624,2009-04-28
26924,624,179,2011-12-06
26924,179,835,2012-02-03
26926,658,357,2008-03-03
26926,357,385,2010-09-07
26927,43,518,2002-10-04
26927,518,101,2003-02-27
26927,101,518,2003-09-08
26927,518,393,2007-09-10
26927,393,669,2009-04-17
26927,669,116,2009-09-08
26927,116,509,2010-02-18
26927,509,47,2011-10-17
26938,0,283,2004-09-14
26938,283,518,2006-09-07
26940,157,652,2006-09-07
26941,328,304,2002-09-05
26941,304,441,2003-09-23
26941,441,436,2004-09-21
26941,436,15,2006-03-21
26941,15,542,2007-09-10
26941,542,303,2009-09-08
26943,652,628,2007-09-10
26945,594,286,2002-09-05
26945,286,602,2003-03-28
26948,510,272,2004-03-10
26950,604,272,2004-01-29
26950,272,829,2009-12-03
26953,446,343,2002-09-25
26953,343,272,2002-12-17
26953,272,169,2004-09-07
26953,169,248,2004-10-26
26953,248,503,2005-03-15
26953,503,131,2005-03-23
26953,131,25,2005-05-17
26953,25,272,2006-11-21
26953,272,47,2008-12-15
26953,47,793,2009-03-17
26959,219,67,2006-09-07
26960,281,365,2006-09-07
26960,365,666,2006-09-19
26962,641,666,2002-02-11
26964,248,67,2002-09-05
26965,48,666,2004-09-07
26966,628,666,2005-09-06
26968,355,406,2002-09-05
26968,406,20,2006-09-07
26969,286,3,2004-09-07
26969,3,452,2008-09-04
26970,81,20,2002-09-05
26973,399,162,2005-09-06
26973,162,367,2006-09-07
26987,0,296,2004-09-14
26998,375,602,2006-09-07
26998,602,637,2010-09-07
27003,237,316,2006-09-18
27003,316,230,2007-01-12
27003,230,7,2009-09-08
27007,441,152,2001-11-07
27007,152,230,2003-01-27
27007,230,391,2007-11-02
27007,391,21,2008-09-04
27013,271,406,2004-09-07
27013,406,20,2011-09-06
27018,299,245,2002-10-08
27018,245,72,2004-09-07
27018,72,342,2005-09-15
27018,342,414,2006-09-07
27020,563,189,2006-11-06
27020,189,286,2009-09-08
27020,286,574,2010-09-07
27021,161,393,2004-09-07
27021,393,173,2007-09-10
27030,655,123,2002-01-24
27031,545,48,2002-10-21
27031,48,155,2005-09-06
27031,155,123,2006-09-07
27031,123,687,2007-09-17
27032,188,67,2004-09-07
27033,408,666,2002-09-05
27035,666,527,2003-09-08
27035,527,22,2004-09-07
27037,70,490,2002-09-23
27037,490,219,2002-11-07
27037,219,179,2004-09-07
27037,179,123,2005-03-31
27037,123,619,2008-09-04
27040,548,81,2007-09-10
27042,599,123,2006-09-07
27047,290,505,2007-09-10
27047,505,405,2007-09-26
27047,405,629,2011-09-06
27049,152,180,2004-10-13
27049,180,162,2006-09-07
27049,162,272,2007-04-13
27049,272,641,2009-09-08
27050,233,185,2005-09-06
27051,398,358,2003-09-08
27051,358,225,2006-09-12
27051,225,272,2006-11-15
27052,245,72,2002-09-05
27055,20,205,2002-10-01
27056,257,205,2003-09-08
27059,343,358,2002-09-25
27059,358,205,2003-09-08
27062,605,358,2002-09-05
27062,358,19,2005-09-06
27062,19,205,2005-12-23
27064,641,205,2004-09-07
27066,358,205,2002-09-05
27067,229,45,2007-11-07
27067,45,422,2008-09-04
27067,422,595,2010-05-06
27067,595,518,2011-02-24
27068,147,527,2009-09-08
27069,568,358,2003-09-08
27069,358,205,2006-09-07
27069,205,572,2008-09-05
27076,296,391,2010-09-07
27077,359,296,2006-09-07
27077,296,391,2009-09-08
27077,391,21,2011-09-06
27083,565,233,2001-11-14
27083,233,365,2010-09-13
27084,88,299,2006-09-07
27084,299,549,2009-09-08
27094,299,505,2010-09-07
27094,505,205,2011-09-06
27099,248,272,2003-05-28
27100,37,248,2005-09-06
27100,248,490,2005-09-27
27100,490,272,2007-03-05
27100,272,509,2007-09-10
27100,509,47,2009-06-17
27100,47,248,2009-08-01
27100,248,67,2010-09-07
27102,211,162,2003-09-18
27102,162,272,2004-01-13
27108,238,527,2009-09-08
27117,275,287,2001-11-08
27117,287,272,2002-09-05
27117,272,202,2002-11-26
27117,202,0,2004-11-03
27122,37,248,2003-09-08
27122,248,250,2006-09-07
27122,250,248,2007-03-06
27122,248,67,2007-09-10
27122,67,272,2008-05-28
27122,272,162,2009-09-08
27123,429,609,2010-09-07
27124,43,188,2002-09-09
27124,188,379,2006-09-07
27127,652,539,2002-09-17
27127,539,525,2003-09-08
27127,525,456,2003-10-22
27130,456,387,2009-09-08
27131,69,21,2008-09-04
27134,630,69,2006-09-07
27134,69,21,2010-09-07
27140,438,186,2003-01-08
27140,186,309,2003-09-08
27140,309,500,2005-09-06
27140,500,655,2008-09-04
27140,655,275,2011-09-06
27149,286,3,2007-09-10
27149,3,214,2010-01-04
27151,640,599,2003-09-08
27160,545,12,2006-09-07
27167,163,43,2005-09-13
27167,43,556,2008-09-04
27167,556,43,2008-12-15
27170,48,12,2004-09-07
27173,580,281,2005-01-04
27173,281,12,2006-09-07
27173,12,129,2009-04-03
27173,129,681,2009-09-08
27174,316,532,2002-01-09
27174,532,423,2002-01-23
27174,423,620,2010-04-08
27174,620,63,2010-09-07
27178,147,468,2002-09-05
27178,468,425,2005-09-06
27183,254,296,2002-09-05
27183,296,172,2003-09-08
27183,172,391,2004-10-19
27183,391,21,2006-09-07
27188,660,67,2002-10-30
27193,525,666,2002-09-05
27196,201,343,2002-09-05
27196,343,219,2003-09-08
27196,219,596,2005-01-13
27196,596,67,2006-09-07
27198,497,123,2004-09-07
27207,294,250,2007-09-10
27207,250,637,2008-09-04
27207,637,12,2011-09-06
27207,12,367,2011-12-06
27209,286,637,2004-09-07
27209,637,294,2005-09-06
27209,294,496,2011-09-06
27219,0,296,2004-09-07
27219,296,165,2006-09-07
27219,165,359,2007-09-10
27219,359,391,2010-09-07
27226,335,236,2006-09-07
27226,236,199,2007-02-22
27233,629,605,2004-09-07
27233,605,24,2005-01-05
27233,24,629,2005-09-06
27233,629,496,2007-09-10
27233,496,641,2010-09-07
27244,12,63,2003-10-09
27244,63,666,2004-09-13
27245,431,67,2001-09-14
27246,277,666,2004-09-09
27246,666,47,2006-11-06
27246,47,666,2006-11-15
27247,587,549,2002-09-05
27248,299,274,2008-09-04
27248,274,123,2009-04-28
27248,123,827,2009-09-29
27248,827,835,2010-09-20
27248,835,834,2011-05-13
27252,596,248,2003-01-08
27252,248,67,2003-09-08
27252,67,221,2004-03-16
27252,221,225,2005-09-06
27259,67,139,2002-09-05
27259,139,221,2004-09-07
