lat,lon,instid,name,year,attainment,students
39.919812,-75.15803,123,SOUTH PHILADELPHIA H.S. - 2000,2011,-44.368318,248
39.919812,-75.15803,123,SOUTH PHILADELPHIA H.S. - 2000,2012,-33.207400,4
39.919812,-75.15803,174,"VARE, ABIGAIL SCHOOL - 2720",2002,-86.805207,117
39.919812,-75.15803,174,"VARE, ABIGAIL SCHOOL - 2720",2003,-42.547062,89
39.919812,-75.15803,174,"VARE, ABIGAIL SCHOOL - 2720",2004,-38.154012,4
39.919812,-75.15803,174,"VARE, ABIGAIL SCHOOL - 2720",2006,-7.311845,183
39.919812,-75.15803,174,"VARE, ABIGAIL SCHOOL - 2720",2007,-3.321810,214
39.919812,-75.15803,174,"VARE, ABIGAIL SCHOOL - 2720",2008,10.422443,16
39.919812,-75.15803,174,"VARE, ABIGAIL SCHOOL - 2720",2009,-6.136305,160
39.919812,-75.15803,174,"VARE, ABIGAIL SCHOOL - 2720",2010,-6.182325,148
39.919812,-75.15803,174,"VARE, ABIGAIL SCHOOL - 2720",2011,9.888951,154
39.919812,-75.15803,174,"VARE, ABIGAIL SCHOOL - 2720",2012,-112.841633,3
39.919812,-75.15803,229,"SHARSWOOD, GEORGE SCHOOL - 2630",2002,-29.710287,80
39.919812,-75.15803,229,"SHARSWOOD, GEORGE SCHOOL - 2630",2003,-11.699752,86
39.919812,-75.15803,229,"SHARSWOOD, GEORGE SCHOOL - 2630",2004,29.951875,2
39.919812,-75.15803,229,"SHARSWOOD, GEORGE SCHOOL - 2630",2006,3.502403,235
39.919812,-75.15803,229,"SHARSWOOD, GEORGE SCHOOL - 2630",2007,6.986212,268
39.919812,-75.15803,229,"SHARSWOOD, GEORGE SCHOOL - 2630",2008,-25.826835,10
39.919812,-75.15803,229,"SHARSWOOD, GEORGE SCHOOL - 2630",2009,18.569588,258
39.919812,-75.15803,229,"SHARSWOOD, GEORGE SCHOOL - 2630",2010,19.048767,270
39.919812,-75.15803,229,"SHARSWOOD, GEORGE SCHOOL - 2630",2011,-5.174619,271
39.919812,-75.15803,229,"SHARSWOOD, GEORGE SCHOOL - 2630",2012,-1.146200,1
39.919812,-75.15803,338,"FELL, D. NEWLIN SCHOOL - 2190",2002,-42.791371,52
39.919812,-75.15803,338,"FELL, D. NEWLIN SCHOOL - 2190",2003,-26.437186,107
39.919812,-75.15803,338,"FELL, D. NEWLIN SCHOOL - 2190",2004,-118.760150,1
39.919812,-75.15803,338,"FELL, D. NEWLIN SCHOOL - 2190",2006,16.262697,262
39.919812,-75.15803,338,"FELL, D. NEWLIN SCHOOL - 2190",2007,37.128417,300
39.919812,-75.15803,338,"FELL, D. NEWLIN SCHOOL - 2190",2008,-0.112448,21
39.919812,-75.15803,338,"FELL, D. NEWLIN SCHOOL - 2190",2009,32.159949,278
39.919812,-75.15803,338,"FELL, D. NEWLIN SCHOOL - 2190",2010,31.305183,291
39.919812,-75.15803,338,"FELL, D. NEWLIN SCHOOL - 2190",2011,32.697428,293
39.919812,-75.15803,338,"FELL, D. NEWLIN SCHOOL - 2190",2012,-27.680656,8
39.919812,-75.15803,386,"KEY, FRANCIS SCOTT SCHOOL - 2540",2002,-53.487313,81
39.919812,-75.15803,386,"KEY, FRANCIS SCOTT SCHOOL - 2540",2003,-6.134939,56
39.919812,-75.15803,386,"KEY, FRANCIS SCOTT SCHOOL - 2540",2004,-106.702850,1
39.919812,-75.15803,386,"KEY, FRANCIS SCOTT SCHOOL - 2540",2006,25.220389,115
39.919812,-75.15803,386,"KEY, FRANCIS SCOTT SCHOOL - 2540",2007,18.758368,205
39.919812,-75.15803,386,"KEY, FRANCIS SCOTT SCHOOL - 2540",2008,-21.779236,11
39.919812,-75.15803,386,"KEY, FRANCIS SCOTT SCHOOL - 2540",2009,13.630929,137
39.919812,-75.15803,386,"KEY, FRANCIS SCOTT SCHOOL - 2540",2010,32.575007,151
39.919812,-75.15803,386,"KEY, FRANCIS SCOTT SCHOOL - 2540",2011,40.895918,180
39.919812,-75.15803,386,"KEY, FRANCIS SCOTT SCHOOL - 2540",2012,49.483475,2
39.919812,-75.15803,497,SOUTHWARK SCHOOL - 2640,2002,-84.326231,133
39.919812,-75.15803,497,SOUTHWARK SCHOOL - 2640,2003,-41.177906,145
39.919812,-75.15803,497,SOUTHWARK SCHOOL - 2640,2004,-84.795000,4
39.919812,-75.15803,497,SOUTHWARK SCHOOL - 2640,2006,-4.491406,335
39.919812,-75.15803,497,SOUTHWARK SCHOOL - 2640,2007,-0.615540,348
39.919812,-75.15803,497,SOUTHWARK SCHOOL - 2640,2008,-78.076800,30
39.919812,-75.15803,497,SOUTHWARK SCHOOL - 2640,2009,4.376750,293
39.919812,-75.15803,497,SOUTHWARK SCHOOL - 2640,2010,5.708908,292
39.919812,-75.15803,497,SOUTHWARK SCHOOL - 2640,2011,-9.189082,257
39.919812,-75.15803,497,SOUTHWARK SCHOOL - 2640,2012,-12.438290,5
39.919812,-75.15803,619,"FURNESS, HORACE HIGH SCHOOL - 2160",2002,-79.955522,136
39.919812,-75.15803,619,"FURNESS, HORACE HIGH SCHOOL - 2160",2003,-79.999338,179
39.919812,-75.15803,619,"FURNESS, HORACE HIGH SCHOOL - 2160",2004,-183.984700,3
39.919812,-75.15803,619,"FURNESS, HORACE HIGH SCHOOL - 2160",2007,-67.746286,133
39.919812,-75.15803,619,"FURNESS, HORACE HIGH SCHOOL - 2160",2008,-51.956060,154
39.919812,-75.15803,619,"FURNESS, HORACE HIGH SCHOOL - 2160",2009,-38.757801,268
39.919812,-75.15803,619,"FURNESS, HORACE HIGH SCHOOL - 2160",2010,-21.740281,220
39.919812,-75.15803,619,"FURNESS, HORACE HIGH SCHOOL - 2160",2011,-8.763314,188
39.919812,-75.15803,619,"FURNESS, HORACE HIGH SCHOOL - 2160",2012,-70.250860,5
39.919812,-75.15803,640,"JENKS, ABRAM SCHOOL - 2520",2006,53.670947,72
39.919812,-75.15803,640,"JENKS, ABRAM SCHOOL - 2520",2007,15.869577,146
39.919812,-75.15803,640,"JENKS, ABRAM SCHOOL - 2520",2008,39.058900,1
39.919812,-75.15803,640,"JENKS, ABRAM SCHOOL - 2520",2009,39.797036,50
39.919812,-75.15803,640,"JENKS, ABRAM SCHOOL - 2520",2010,39.107120,65
39.919812,-75.15803,640,"JENKS, ABRAM SCHOOL - 2520",2011,51.892599,70
39.919812,-75.15803,682,SOUTH PHILA HIGH SCHOOL EOP - 3880,2008,-75.918933,3
39.919812,-75.15803,682,SOUTH PHILA HIGH SCHOOL EOP - 3880,2009,-67.367178,16
39.919812,-75.15803,682,SOUTH PHILA HIGH SCHOOL EOP - 3880,2010,-22.213729,12
39.919812,-75.15803,682,SOUTH PHILA HIGH SCHOOL EOP - 3880,2011,-95.886753,15
39.919812,-75.15803,682,SOUTH PHILA HIGH SCHOOL EOP - 3880,2012,-61.980805,10
39.919812,-75.15803,687,ACCEL. LEARNING ACDMY-SOUTHERN - 8290,2007,-104.993485,10
39.919812,-75.15803,687,ACCEL. LEARNING ACDMY-SOUTHERN - 8290,2008,-73.332900,5
39.919812,-75.15803,687,ACCEL. LEARNING ACDMY-SOUTHERN - 8290,2009,-111.089625,2
39.919812,-75.15803,687,ACCEL. LEARNING ACDMY-SOUTHERN - 8290,2010,-133.809450,3
39.919812,-75.15803,804,OMBUDSMAN SOUTH TRANSITION - 8480,2009,-22.685750,4
39.919812,-75.15803,804,OMBUDSMAN SOUTH TRANSITION - 8480,2010,-21.935195,10
39.919812,-75.15803,804,OMBUDSMAN SOUTH TRANSITION - 8480,2011,-19.895490,6
39.919812,-75.15803,804,OMBUDSMAN SOUTH TRANSITION - 8480,2012,67.664600,2
39.919812,-75.15803,835,OIC CLA - 3580,2010,-130.557983,3
39.919812,-75.15803,835,OIC CLA - 3580,2011,-115.893366,3
39.919812,-75.15803,835,OIC CLA - 3580,2012,-131.227066,2
39.922262,-75.18259,78,GIRARD ACADEMIC MUSIC PROGRAM - 2410,2002,54.636801,184
39.922262,-75.18259,78,GIRARD ACADEMIC MUSIC PROGRAM - 2410,2003,91.024926,189
39.922262,-75.18259,78,GIRARD ACADEMIC MUSIC PROGRAM - 2410,2007,101.936328,308
39.922262,-75.18259,78,GIRARD ACADEMIC MUSIC PROGRAM - 2410,2008,91.032593,42
39.922262,-75.18259,78,GIRARD ACADEMIC MUSIC PROGRAM - 2410,2009,103.539064,337
39.922262,-75.18259,78,GIRARD ACADEMIC MUSIC PROGRAM - 2410,2010,103.965538,336
39.922262,-75.18259,78,GIRARD ACADEMIC MUSIC PROGRAM - 2410,2011,102.139544,330
39.922262,-75.18259,224,"BREGY, F. AMEDEE SCHOOL - 2240",2002,-111.560696,33
39.922262,-75.18259,224,"BREGY, F. AMEDEE SCHOOL - 2240",2003,-58.388285,38
39.922262,-75.18259,224,"BREGY, F. AMEDEE SCHOOL - 2240",2006,-1.244946,194
39.922262,-75.18259,224,"BREGY, F. AMEDEE SCHOOL - 2240",2007,-16.868395,252
39.922262,-75.18259,224,"BREGY, F. AMEDEE SCHOOL - 2240",2008,-9.935478,7
39.922262,-75.18259,224,"BREGY, F. AMEDEE SCHOOL - 2240",2009,-16.076195,200
39.922262,-75.18259,224,"BREGY, F. AMEDEE SCHOOL - 2240",2010,-19.091764,228
39.922262,-75.18259,224,"BREGY, F. AMEDEE SCHOOL - 2240",2011,-13.280650,195
39.922262,-75.18259,224,"BREGY, F. AMEDEE SCHOOL - 2240",2012,-82.957010,5
39.922262,-75.18259,483,"GIRARD, STEPHEN SCHOOL - 2320",2006,39.989578,84
39.922262,-75.18259,483,"GIRARD, STEPHEN SCHOOL - 2320",2007,-39.139929,246
39.922262,-75.18259,483,"GIRARD, STEPHEN SCHOOL - 2320",2008,-51.493442,4
39.922262,-75.18259,483,"GIRARD, STEPHEN SCHOOL - 2320",2009,2.002956,87
39.922262,-75.18259,483,"GIRARD, STEPHEN SCHOOL - 2320",2010,-3.669948,107
39.922262,-75.18259,483,"GIRARD, STEPHEN SCHOOL - 2320",2011,-1.253414,97
39.922262,-75.18259,483,"GIRARD, STEPHEN SCHOOL - 2320",2012,-50.546037,4
39.922262,-75.18259,541,"VARE, EDWIN H. MIDDLE SCHOOL - 2120",2002,-117.610022,317
